Andrew Miller	87.5	89.0	65.75	37.0	98.5	58.214	F
John Doe	86.0	88.0	85.25	90.0	95.0	72.13	C
John Smith	52.0	82.0	79.0	88.5	85.0	62.339999999999996	D
Jane Deer	90.0	93.0	91.0	92.75	94.0	75.606	C
William Clinton	95.0	97.0	95.75	90.0	92.0	77.75800000000001	C
George Jones	89.0	81.5	75.0	85.25	88.0	68.262	D
Sarah White	75.5	78.0	85.0	88.0	84.0	67.316	D
Bill Able	88.0	90.0	86.75	91.0	93.5	73.394	C
Larry Brown	99.0	95.0	98.0	96.5	97.0	80.02799999999999	B
Amanda Ernst	76.0	79.5	77.0	82.0	84.25	64.922	D
Richard Farmer	84.75	87.0	80.0	85.0	86.0	69.414	D
Sam Green	87.0	91.75	85.0	88.0	90.0	72.51	C
Paula Hamilton	98.0	100.0	97.5	95.0	98.5	80.464	B
Jesus Javiar	77.5	82.0	85.0	78.0	86.0	66.564	D
Christy King	86.0	89.25	92.0	90.0	94.75	73.724	C
Bob Bush	70.0	75.5	77.0	79.0	81.25	62.25	D
Jerry Landers	95.5	97.0	96.0	92.75	94.0	78.506	C
Sally Moore	97.0	99.0	98.25	94.0	99.0	80.026	B
Nancy Nadler	91.0	93.25	90.0	89.0	92.5	74.87	C
Tina Templar	85.0	82.0	88.75	84.0	90.0	70.11	C
